,Flow ID, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Flow Packets/s, Flow IAT Max,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd Header Length, Bwd Header Length, Min Packet Length, Packet Length Std, RST Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd,Active Mean, Active Max, Active Min, Inbound
0,"('175.45.176.0', '149.171.126.16', 13284, 80, 6)",6,2.386531114578247,14,0,242,54,111.28571428571429,82.72020704193882,0,0,0.0,0.0,5.866254964990938,2.138653039932251,2.386531114578247,0.183579316506019,0.5650423945883029,2.138653039932251,1.0967254638671875e-05,0.0,0.0,0.0,0.0,0.0,0,0,280,0,54,82.72020704193882,0,12,0,0,111.28571428571429,111.28571428571429,0.0,16383,0,7,0.183579316506019,2.138653039932251,1.0967254638671875e-05,0
1,"('149.171.126.16', '175.45.176.0', 80, 13284, 6)",6,2.3712968826293945,6,0,62,54,58.666666666666664,3.39934634239519,0,0,0.0,0.0,2.5302609909168967,2.357679843902588,2.3712968826293945,0.4742593765258789,0.9417248882988072,2.357679843902588,7.867813110351562e-06,0.0,0.0,0.0,0.0,0.0,0,0,120,0,54,3.39934634239519,0,6,0,0,58.666666666666664,58.666666666666664,0.0,16383,0,2,0.4742593765258789,2.357679843902588,7.867813110351562e-06,0
2,"('59.166.0.5', '149.171.126.5', 3593, 53, 17)",17,4.315376281738281e-05,2,0,80,80,80.0,0.0,0,0,0.0,0.0,46345.900552486186,4.315376281738281e-05,4.315376281738281e-05,4.315376281738281e-05,0.0,4.315376281738281e-05,4.315376281738281e-05,0.0,0.0,0.0,0.0,0.0,0,0,40,0,80,0.0,0,0,0,0,80.0,80.0,0.0,0,0,0,4.315376281738281e-05,4.315376281738281e-05,4.315376281738281e-05,0
3,"('59.166.0.3', '149.171.126.0', 49664, 53, 17)",17,5.0067901611328125e-06,2,0,87,87,87.0,0.0,0,0,0.0,0.0,399457.5238095238,5.0067901611328125e-06,5.0067901611328125e-06,5.0067901611328125e-06,0.0,5.0067901611328125e-06,5.0067901611328125e-06,0.0,0.0,0.0,0.0,0.0,0,0,40,0,87,0.0,0,0,0,0,87.0,87.0,0.0,0,0,0,5.0067901611328125e-06,5.0067901611328125e-06,5.0067901611328125e-06,0
4,"('149.171.126.5', '59.166.0.5', 53, 3593, 17)",17,1.3828277587890625e-05,2,0,96,96,96.0,0.0,0,0,0.0,0.0,144631.1724137931,1.3828277587890625e-05,1.3828277587890625e-05,1.3828277587890625e-05,0.0,1.3828277587890625e-05,1.3828277587890625e-05,0.0,0.0,0.0,0.0,0.0,0,0,40,0,96,0.0,0,0,0,0,96.0,96.0,0.0,0,0,0,1.3828277587890625e-05,1.3828277587890625e-05,1.3828277587890625e-05,0
5,"('149.171.126.0', '59.166.0.3', 53, 49664, 17)",17,2.86102294921875e-06,2,0,103,103,103.0,0.0,0,0,0.0,0.0,699050.6666666666,2.86102294921875e-06,2.86102294921875e-06,2.86102294921875e-06,0.0,2.86102294921875e-06,2.86102294921875e-06,0.0,0.0,0.0,0.0,0.0,0,0,40,0,103,0.0,0,0,0,0,103.0,103.0,0.0,0,0,0,2.86102294921875e-06,2.86102294921875e-06,2.86102294921875e-06,0
6,"('59.166.0.5', '149.171.126.2', 6645, 80, 6)",6,0.0007960796356201172,4,0,70,66,68.0,2.0,0,0,0.0,0.0,5024.6229410003,0.0007829666137695312,0.0007960796356201172,0.00026535987854003906,0.00036600894001206187,0.0007829666137695312,4.0531158447265625e-06,0.0,0.0,0.0,0.0,0.0,0,0,80,0,66,2.0,0,2,0,0,68.0,68.0,0.0,5792,0,0,0.00026535987854003906,0.0007829666137695312,4.0531158447265625e-06,0
7,"('59.166.0.3', '149.171.126.8', 42587, 25, 6)",6,0.0007889270782470703,4,0,70,66,68.0,2.0,0,0,0.0,0.0,5070.177092777274,0.0007851123809814453,0.0007889270782470703,0.00026297569274902344,0.00036920721408033433,0.0007851123809814453,9.5367431640625e-07,0.0,0.0,0.0,0.0,0.0,0,0,80,0,66,2.0,0,2,0,0,68.0,68.0,0.0,5792,0,0,0.00026297569274902344,0.0007851123809814453,9.5367431640625e-07,0
8,"('149.171.126.2', '59.166.0.5', 80, 6645, 6)",6,9.059906005859375e-06,2,0,70,70,70.0,0.0,0,0,0.0,0.0,220752.84210526315,9.059906005859375e-06,9.059906005859375e-06,9.059906005859375e-06,0.0,9.059906005859375e-06,9.059906005859375e-06,0.0,0.0,0.0,0.0,0.0,0,0,40,0,70,0.0,0,2,0,0,70.0,70.0,0.0,5792,0,0,9.059906005859375e-06,9.059906005859375e-06,9.059906005859375e-06,0
9,"('149.171.126.8', '59.166.0.3', 25, 42587, 6)",6,2.86102294921875e-06,2,0,70,70,70.0,0.0,0,0,0.0,0.0,699050.6666666666,2.86102294921875e-06,2.86102294921875e-06,2.86102294921875e-06,0.0,2.86102294921875e-06,2.86102294921875e-06,0.0,0.0,0.0,0.0,0.0,0,0,40,0,70,0.0,0,2,0,0,70.0,70.0,0.0,5792,0,0,2.86102294921875e-06,2.86102294921875e-06,2.86102294921875e-06,0
10,"('59.166.0.6', '149.171.126.7', 1464, 53, 17)",17,1.71661376953125e-05,2,0,87,87,87.0,0.0,0,0,0.0,0.0,116508.44444444444,1.71661376953125e-05,1.71661376953125e-05,1.71661376953125e-05,0.0,1.71661376953125e-05,1.71661376953125e-05,0.0,0.0,0.0,0.0,0.0,0,0,40,0,87,0.0,0,0,0,0,87.0,87.0,0.0,0,0,0,1.71661376953125e-05,1.71661376953125e-05,1.71661376953125e-05,0
11,"('149.171.126.7', '59.166.0.6', 53, 1464, 17)",17,1.3113021850585938e-05,2,0,103,103,103.0,0.0,0,0,0.0,0.0,152520.14545454545,1.3113021850585938e-05,1.3113021850585938e-05,1.3113021850585938e-05,0.0,1.3113021850585938e-05,1.3113021850585938e-05,0.0,0.0,0.0,0.0,0.0,0,0,40,0,103,0.0,0,0,0,0,103.0,103.0,0.0,0,0,0,1.3113021850585938e-05,1.3113021850585938e-05,1.3113021850585938e-05,0
12,"('59.166.0.6', '149.171.126.3', 48584, 80, 6)",6,0.0007319450378417969,4,0,70,66,68.0,2.0,0,0,0.0,0.0,5464.891205211727,0.0007178783416748047,0.0007319450378417969,0.00024398167928059897,0.00033509962887504416,0.0007178783416748047,5.0067901611328125e-06,0.0,0.0,0.0,0.0,0.0,0,0,80,0,66,2.0,0,2,0,0,68.0,68.0,0.0,5792,0,0,0.00024398167928059897,0.0007178783416748047,5.0067901611328125e-06,0
13,,0,1.0013580322265625e-05,0,2,0,0,0.0,0.0,70,70,70.0,0.0,199728.7619047619,1.0013580322265625e-05,0.0,0.0,0.0,0.0,0.0,1.0013580322265625e-05,1.0013580322265625e-05,0.0,1.0013580322265625e-05,1.0013580322265625e-05,0,0,0,40,70,0.0,0,2,0,0,70.0,0.0,70.0,0,5792,0,1.0013580322265625e-05,1.0013580322265625e-05,1.0013580322265625e-05,1
14,"('59.166.0.0', '149.171.126.9', 32119, 111, 17)",17,0.06300878524780273,4,0,156,156,156.0,0.0,0,0,0.0,0.0,63.483210861290004,0.06297993659973145,0.06300878524780273,0.021002928415934246,0.029682227274900396,0.06297993659973145,1.0967254638671875e-05,0.0,0.0,0.0,0.0,0.0,0,0,80,0,156,0.0,0,0,0,0,156.0,156.0,0.0,0,0,0,0.021002928415934246,0.06297993659973145,1.0967254638671875e-05,0
15,"('149.171.126.9', '59.166.0.0', 111, 32119, 17)",17,0.07294487953186035,4,0,94,90,92.0,2.0,0,0,0.0,0.0,54.83592577944979,0.0729219913482666,0.07294487953186035,0.02431495984395345,0.03437036164517631,0.0729219913482666,9.059906005859375e-06,0.0,0.0,0.0,0.0,0.0,0,0,80,0,90,2.0,0,0,0,0,92.0,92.0,0.0,0,0,0,0.02431495984395345,0.0729219913482666,9.059906005859375e-06,0
16,"('59.166.0.0', '149.171.126.9', 33661, 1024, 17)",17,0.021014928817749023,4,0,162,130,146.0,16.0,0,0,0.0,0.0,190.34087789160796,0.02099299430847168,0.021014928817749023,0.007004976272583008,0.009891022408536612,0.02099299430847168,1.0967254638671875e-05,0.0,0.0,0.0,0.0,0.0,0,0,80,0,130,16.0,0,0,0,0,146.0,146.0,0.0,0,0,0,0.007004976272583008,0.02099299430847168,1.0967254638671875e-05,0
17,"('149.171.126.9', '59.166.0.0', 1024, 33661, 17)",17,0.02269291877746582,4,0,114,66,90.0,24.0,0,0,0.0,0.0,176.26643973061852,0.022671937942504883,0.02269291877746582,0.0075643062591552734,0.010682708874818059,0.022671937942504883,9.059906005859375e-06,0.0,0.0,0.0,0.0,0.0,0,0,80,0,66,24.0,0,0,0,0,90.0,90.0,0.0,0,0,0,0.0075643062591552734,0.022671937942504883,9.059906005859375e-06,0
18,"('59.166.0.0', '149.171.126.9', 2109, 52908, 6)",6,0.0007140636444091797,4,0,70,66,68.0,2.0,0,0,0.0,0.0,5601.741569282137,0.0007040500640869141,0.0007140636444091797,0.0002380212148030599,0.00032953215955717677,0.0007040500640869141,5.0067901611328125e-06,0.0,0.0,0.0,0.0,0.0,0,0,80,0,66,2.0,0,2,0,0,68.0,68.0,0.0,5792,0,0,0.0002380212148030599,0.0007040500640869141,5.0067901611328125e-06,0
19,"('149.171.126.9', '59.166.0.0', 52908, 2109, 6)",6,5.0067901611328125e-06,2,0,70,70,70.0,0.0,0,0,0.0,0.0,399457.5238095238,5.0067901611328125e-06,5.0067901611328125e-06,5.0067901611328125e-06,0.0,5.0067901611328125e-06,5.0067901611328125e-06,0.0,0.0,0.0,0.0,0.0,0,0,40,0,70,0.0,0,2,0,0,70.0,70.0,0.0,5792,0,0,5.0067901611328125e-06,5.0067901611328125e-06,5.0067901611328125e-06,0
20,"('59.166.0.0', '149.171.126.6', 1390, 53, 17)",17,1.6927719116210938e-05,2,0,80,80,80.0,0.0,0,0,0.0,0.0,118149.40845070423,1.6927719116210938e-05,1.6927719116210938e-05,1.6927719116210938e-05,0.0,1.6927719116210938e-05,1.6927719116210938e-05,0.0,0.0,0.0,0.0,0.0,0,0,40,0,80,0.0,0,0,0,0,80.0,80.0,0.0,0,0,0,1.6927719116210938e-05,1.6927719116210938e-05,1.6927719116210938e-05,0
